citrus fruit,semi-finished bread
citrus fruit,margarine
citrus fruit,ready soups
semi-finished bread,margarine
semi-finished bread,ready soups
margarine,ready soups
tropical fruit,yogurt
tropical fruit,coffee
yogurt,coffee
pip fruit,yogurt
pip fruit,cream cheese
pip fruit,meat spreads
yogurt,cream cheese
yogurt,meat spreads
cream cheese,meat spreads
other vegetables,whole milk
other vegetables,condensed milk
other vegetables,long life bakery product
whole milk,condensed milk
whole milk,long life bakery product
condensed milk,long life bakery product
whole milk,butter
whole milk,yogurt
whole milk,rice
whole milk,abrasive cleaner
butter,yogurt
butter,rice
butter,abrasive cleaner
yogurt,rice
yogurt,abrasive cleaner
rice,abrasive cleaner
other vegetables,UHT-milk
other vegetables,rolls/buns
other vegetables,bottled beer
other vegetables,liquor (appetizer)
UHT-milk,rolls/buns
UHT-milk,bottled beer
UHT-milk,liquor (appetizer)
rolls/buns,bottled beer
rolls/buns,liquor (appetizer)
bottled beer,liquor (appetizer)
whole milk,cereals
tropical fruit,other vegetables
tropical fruit,white bread
tropical fruit,bottled water
tropical fruit,chocolate
other vegetables,white bread
other vegetables,bottled water
other vegetables,chocolate
white bread,bottled water
white bread,chocolate
bottled water,chocolate
citrus fruit,tropical fruit
citrus fruit,whole milk
citrus fruit,butter
citrus fruit,curd
citrus fruit,yogurt
citrus fruit,flour
citrus fruit,bottled water
citrus fruit,dishes
tropical fruit,whole milk
tropical fruit,butter
tropical fruit,curd
tropical fruit,flour
tropical fruit,dishes
whole milk,curd
whole milk,flour
whole milk,bottled water
whole milk,dishes
butter,curd
butter,flour
butter,bottled water
butter,dishes
curd,yogurt
curd,flour
curd,bottled water
curd,dishes
yogurt,flour
yogurt,bottled water
yogurt,dishes
flour,bottled water
flour,dishes
bottled water,dishes
frankfurter,rolls/buns
frankfurter,soda
rolls/buns,soda
chicken,tropical fruit
butter,sugar
butter,fruit/vegetable juice
butter,newspapers
sugar,fruit/vegetable juice
sugar,newspapers
fruit/vegetable juice,newspapers
butter milk,pastry
tropical fruit,cream cheese
tropical fruit,processed cheese
tropical fruit,detergent
tropical fruit,newspapers
cream cheese,processed cheese
cream cheese,detergent
cream cheese,newspapers
processed cheese,detergent
processed cheese,newspapers
detergent,newspapers
tropical fruit,root vegetables
tropical fruit,frozen dessert
tropical fruit,rolls/buns
tropical fruit,sweet spreads
tropical fruit,salty snack
tropical fruit,waffles
tropical fruit,candy
tropical fruit,bathroom cleaner
root vegetables,other vegetables
root vegetables,frozen dessert
root vegetables,rolls/buns
root vegetables,flour
root vegetables,sweet spreads
root vegetables,salty snack
root vegetables,waffles
root vegetables,candy
root vegetables,bathroom cleaner
other vegetables,frozen dessert
other vegetables,flour
other vegetables,sweet spreads
other vegetables,salty snack
other vegetables,waffles
other vegetables,candy
other vegetables,bathroom cleaner
frozen dessert,rolls/buns
frozen dessert,flour
frozen dessert,sweet spreads
frozen dessert,salty snack
frozen dessert,waffles
frozen dessert,candy
frozen dessert,bathroom cleaner
rolls/buns,flour
rolls/buns,sweet spreads
rolls/buns,salty snack
rolls/buns,waffles
rolls/buns,candy
rolls/buns,bathroom cleaner
flour,sweet spreads
flour,salty snack
flour,waffles
flour,candy
flour,bathroom cleaner
sweet spreads,salty snack
sweet spreads,waffles
sweet spreads,candy
sweet spreads,bathroom cleaner
salty snack,waffles
salty snack,candy
salty snack,bathroom cleaner
waffles,candy
waffles,bathroom cleaner
candy,bathroom cleaner
bottled water,canned beer
sausage,rolls/buns
sausage,soda
sausage,chocolate
rolls/buns,chocolate
soda,chocolate
brown bread,soda
brown bread,fruit/vegetable juice
brown bread,canned beer
brown bread,newspapers
brown bread,shopping bags
soda,fruit/vegetable juice
soda,canned beer
soda,newspapers
soda,shopping bags
fruit/vegetable juice,canned beer
fruit/vegetable juice,shopping bags
canned beer,newspapers
canned beer,shopping bags
newspapers,shopping bags
yogurt,beverages
yogurt,specialty bar
beverages,bottled water
beverages,specialty bar
bottled water,specialty bar
hamburger meat,other vegetables
hamburger meat,rolls/buns
hamburger meat,spices
hamburger meat,bottled water
hamburger meat,hygiene articles
